2018/5/4,74,37,86,15,0.9,59,117
2018/5/5,53,37,55,4,0.9,30,70
2018/5/6,36,13,25,3,0.8,24,72
2018/5/7,59,11,25,3,0.6,20,110
2018/5/8,52,21,47,6,0.7,41,102
2018/5/9,118,36,92,11,1,58,179
2018/5/10,73,38,78,15,1,56,127
2018/5/11,90,67,82,7,1.4,56,50
2018/5/12,74,40,59,4,1,30,128
2018/5/13,100,40,72,6,0.8,48,159
2018/5/14,68,42,85,7,1,49,107
2018/5/15,54,25,58,5,0.6,29,99
2018/5/16,70,23,63,5,0.6,24,124
2018/5/17,82,29,71,5,0.7,35,138
2018/5/18,53,23,48,5,0.9,42,79
2018/5/19,81,23,47,5,0.9,30,137
2018/5/20,41,23,41,5,1.1,31,57
2018/5/21,47,22,46,4,1.1,37,32
2018/5/22,67,27,83,3,0.7,21,68
2018/5/23,100,55,150,6,0.9,34,133
2018/5/24,73,46,96,6,1.1,42,114
2018/5/25,65,39,78,6,1,34,117
2018/5/26,47,14,29,3,1,19,93
2018/5/27,138,66,226,5,0.6,30,133
2018/5/28,106,44,161,8,0.7,63,108
2018/5/29,117,59,184,14,1.1,83,123
2018/5/30,72,45,93,7,1,52,71
2018/5/31,58,32,58,4,0.9,46,99
